KOD;CENA;POPIS;PLATNOST_OD;PLATNOST_DO
11440;9.75;;01.01.1993;
11450;10.31;;01.01.1993;
11811;8.13;;01.01.1993;
11814;5.49;;01.01.1993;
11841;6.57;;01.01.1993;
11844;3.91;;01.01.1993;
11851;7.11;;01.01.1993;
11854;4.22;;01.01.1993;
11901;9.85;;24.09.1998;
11904;6.39;;24.09.1998;
11911;8.79;;24.09.1998;
11914;5.22;;24.09.1998;
11941;6.29;;24.09.1998;
11944;3.3;;24.09.1998;
11951;6.94;;24.09.1998;
11954;3.83;;24.09.1998;
12001;7.12;;24.09.1998;
12004;4.49;;24.09.1998;
12011;6.14;;24.09.1998;
12014;3.43;;24.09.1998;
12041;4.57;;24.09.1998;
12044;2.4;;24.09.1998;
12051;5.13;;24.09.1998;
12054;2.63;;24.09.1998;
12110;4.03;;24.09.1998;
12112;3.2;;24.09.1998;
12113;2.76;;24.09.1998;
12142;2.39;;24.09.1998;
12143;2.21;;24.09.1998;
12152;2.64;;24.09.1998;
12153;2.36;;24.09.1998;
12210;4.97;;24.09.1998;
12212;3.88;;24.09.1998;
12213;3.44;;24.09.1998;
12242;2.78;;24.09.1998;
12243;2.55;;24.09.1998;
12252;3.14;;24.09.1998;
12253;2.72;;24.09.1998;
12310;5.05;;24.09.1998;
12312;4.07;;24.09.1998;
12313;3.68;;24.09.1998;
12501;9.56;;24.09.1998;
12504;6.09;;24.09.1998;
12511;7.89;;24.09.1998;
12514;5.02;;24.09.1998;
12541;6.24;;01.01.1993;
12544;3.38;;01.01.1993;
12551;6.74;;01.01.1993;
12554;3.68;;24.09.1998;
12601;7.55;;24.09.1998;
12604;4.49;;24.09.1998;
12611;6.42;;24.09.1998;
12614;3.44;;24.09.1998;
12641;4.66;;24.09.1998;
12644;2.31;;24.09.1998;
12651;5.2;;24.09.1998;
12654;2.52;;24.09.1998;
12801;9;;24.09.1998;
12804;5.56;;24.09.1998;
12811;7.38;;24.09.1998;
12814;4.54;;24.09.1998;
12841;5.52;;24.09.1998;
12844;2.74;;24.09.1998;
12851;6.09;;24.09.1998;
12854;3.13;;24.09.1998;
12901;7.55;;24.09.1998;
12904;4.57;;01.01.1993;
12911;6.56;;24.09.1998;
12914;3.58;;24.09.1998;
12941;4.71;;24.09.1998;
12944;2.35;;01.01.1993;
12951;5.23;;24.09.1998;
12954;2.56;;24.09.1998;
13001;8.43;;24.09.1998;
13004;5.35;;24.09.1998;
13011;7.24;;24.09.1998;
13014;4.52;;24.09.1998;
13041;5.46;;24.09.1998;
13044;2.71;;24.09.1998;
13051;6.1;;24.09.1998;
13054;2.89;;24.09.1998;
13101;5.43;;24.09.1998;
13104;3.81;;24.09.1998;
13111;4.82;;24.09.1998;
13114;3.14;;24.09.1998;
13121;4.65;;01.01.1993;
13124;2.88;;01.01.1993;
13131;4.2;;01.01.1993;30.01.2014
13134;3.14;;01.01.1993;
13141;3.69;;24.09.1998;
13144;2.29;;24.09.1998;
13151;3.87;;24.09.1998;
13154;2.54;;24.09.1998;
13201;4.61;;01.01.1993;
13204;2.87;;01.01.1993;
13221;3.66;;24.09.1998;
13224;2.48;;24.09.1998;
13231;3.93;;24.09.1998;
13234;2.55;;24.09.1998;
13241;2.82;;01.01.1993;
13244;1.96;;01.01.1993;
13251;3.03;;01.01.1993;
13254;2.09;;01.01.1993;
13301;8.53;;24.09.1998;
13304;5.41;;01.01.1993;
13311;7.13;;24.09.1998;
13314;4.27;;01.01.1993;
13341;5.4;;24.09.1998;
13344;3.05;;01.01.1993;
13351;5.78;;24.09.1998;
13354;3.25;;24.09.1998;
13715;1.76;;24.09.1998;
13716;1.35;;24.09.1998;
13745;1.38;;24.09.1998;
13746;1.2;;24.09.1998;
13755;1.51;;24.09.1998;
13756;1.25;;24.09.1998;
13815;1.85;;28.06.2002;
13816;1.5;;24.09.1998;
13845;1.53;;28.06.2002;
13846;1.23;;28.06.2002;
13855;1.58;;28.06.2002;
13856;1.31;;28.06.2002;
13909;1.18;;01.01.1993;
13919;1.17;;24.09.1998;
13929;1.17;;24.09.1998;
13939;1.17;;24.09.1998;
13949;1.17;;24.09.1998;
13959;1.17;;24.09.1998;
13969;1.16;;01.01.1993;
14067;1.18;;24.09.1998;
14068;1.17;;24.09.1998;
14077;1.18;;24.09.1998;
14078;1.17;;24.09.1998;
14089;1.16;;24.09.1998;
14099;1.17;;24.09.1998;
14167;1.18;;24.09.1998;
14168;1.17;;24.09.1998;
14177;1.18;;24.09.1998;
14178;1.17;;24.09.1998;
14189;1.16;;24.09.1998;
14199;1.17;;24.09.1998;
15001;7.23;;01.01.1993;
15004;4.52;;01.01.1993;
15011;6.24;;24.09.1998;
15014;3.46;;01.01.1993;
15041;4.59;;01.01.1993;
15044;2.64;;01.01.1993;
15051;5.13;;01.01.1993;
15054;2.82;;01.01.1993;
15111;4.86;;24.09.1998;
15113;3.4;;24.09.1998;
15411;4.13;;24.09.1998;
15441;2.71;;01.01.1993;
15451;2.94;;24.09.1998;
15500;7.51;;24.09.1998;
15600;13.11;;24.09.1998;
15700;11;;24.09.1998;
15800;10.05;;24.09.1998;
15900;7.81;;24.09.1998;
16000;15.05;;24.09.1998;
16100;13.87;;24.09.1998;
16200;10.39;;24.09.1998;
16300;4.74;;24.09.1998;
16401;4.89;;24.09.1998;
16411;4.47;;24.09.1998;
16501;2.66;;01.01.1993;
16511;2.57;;28.06.2002;
16601;2.95;;01.01.1993;
16701;1.45;;24.09.1998;
16811;1.43;;24.09.1998;
16841;1.39;;24.09.1998;
16901;1.7;;24.09.1998;
17001;4.16;;24.09.1998;
17101;3.29;;24.09.1998;
17201;1.74;;24.09.1998;
17311;1.28;;28.06.2002;
17313;1.26;;28.06.2002;
17341;1.25;;28.06.2002;
17343;1.25;;28.06.2002;
17411;1.28;;28.06.2002;
17413;1.26;;28.06.2002;
17441;1.25;;28.06.2002;
17443;1.25;;28.06.2002;
17541;1.39;;24.09.1998;
17543;1.38;;28.06.2002;
17641;1.39;;24.09.1998;
17643;1.38;;28.06.2002;
17769;1.16;;24.09.1998;
17789;1.15;;01.01.1993;
17869;1.16;;01.01.1993;
17889;1.15;;01.01.1993;
20100;17.22;;24.09.1998;
20110;15.43;;24.09.1998;
20112;13.67;;24.09.1998;
20200;17.15;;24.09.1998;
20210;15.51;;24.09.1998;
20212;13.85;;24.09.1998;
20300;17.91;;24.09.1998;
20401;7.91;;24.09.1998;
20411;6.2;;01.01.1993;30.01.2014
20501;10.09;;24.09.1998;
20511;8.73;;24.09.1998;
20600;13.77;;24.09.1998;
20602;12.07;;24.09.1998;
20610;12.35;;24.09.1998;
20612;10.43;;24.09.1998;
20640;10.17;;01.01.1993;
20650;11.05;;01.01.1993;
20700;12.98;;24.09.1998;
20710;12;;24.09.1998;
20740;9.65;;01.01.1993;
20750;10.21;;01.01.1993;
20800;13.26;;24.09.1998;
20810;11.78;;24.09.1998;
20840;9.44;;24.09.1998;
20850;10.09;;24.09.1998;
20900;17.26;;24.09.1998;
20910;15.59;;28.06.2002;
21000;15.82;;24.09.1998;
21010;14.64;;24.09.1998;
21100;14.87;;24.09.1998;
21110;13.65;;24.09.1998;
21200;14.48;;24.09.1998;
21210;13.01;;24.09.1998;
21212;11.14;;24.09.1998;
21213;10.35;;24.09.1998;
21300;12.17;;24.09.1998;
21310;10.9;;24.09.1998;
21313;7.82;;24.09.1998;
21400;14.37;;24.09.1998;
21410;12.88;;24.09.1998;
21440;10.68;;01.01.1993;
21450;11.16;;01.01.1993;
21500;13.95;;24.09.1998;
21510;12.34;;24.09.1998;
21512;10.54;;24.09.1998;
21513;9.49;;01.01.1993;
21540;10.11;;01.01.1993;
21542;8.56;;01.01.1993;
21543;7.28;;01.01.1993;
21550;10.56;;01.01.1993;
21552;9.23;;01.01.1993;
21553;8.21;;01.01.1993;
21602;8.02;;24.09.1998;
21700;6.86;;24.09.1998;
21710;5.38;;01.01.1993;30.01.2014
21720;6;;28.06.2002;
21730;6.17;;24.09.1998;
21811;8.34;;24.09.1998;
21814;5.61;;24.09.1998;
21841;6.74;;01.01.1993;
21844;3.85;;24.09.1998;
21851;7.12;;01.01.1993;
21854;4.54;;24.09.1998;
21901;11.32;;24.09.1998;
21904;7.4;;24.09.1998;
21911;9.82;;24.09.1998;
21914;6.46;;24.09.1998;
21941;8.1;;24.09.1998;
21944;4.69;;24.09.1998;
21951;8.44;;24.09.1998;
21954;5.06;;24.09.1998;
22001;8.01;;24.09.1998;
22004;5.68;;24.09.1998;
22011;7.26;;24.09.1998;
22014;4.89;;24.09.1998;
22041;5.77;;24.09.1998;
22044;3.35;;24.09.1998;
22051;6.1;;24.09.1998;
22054;3.65;;24.09.1998;
22110;4.81;;24.09.1998;
22112;3.93;;24.09.1998;
22113;3.41;;24.09.1998;
22142;2.82;;24.09.1998;
22143;2.56;;24.09.1998;
22152;2.98;;24.09.1998;
22153;2.73;;24.09.1998;
22210;5.53;;24.09.1998;
22212;4.47;;24.09.1998;
22213;4.18;;24.09.1998;
22242;3.51;;24.09.1998;
22243;3.03;;24.09.1998;
22252;3.79;;24.09.1998;
