KOD;CENA;POPIS;PLATNOST_OD;PLATNOST_DO
33939;1.25;;24.09.1998;
33949;1.24;;24.09.1998;
33959;1.08;;01.01.1993;30.01.2014
33969;1.07;;01.01.1993;30.01.2014
34067;1.25;;24.09.1998;
34068;1.24;;24.09.1998;
34077;1.25;;24.09.1998;
34078;1.24;;24.09.1998;
34089;1.22;;24.09.1998;
34099;1.22;;24.09.1998;
34167;1.25;;24.09.1998;
34168;1.24;;24.09.1998;
34177;1.25;;24.09.1998;
34178;1.24;;24.09.1998;
34189;1.22;;24.09.1998;
34199;1.22;;24.09.1998;
34200;14.04;;24.09.1998;
34210;12.8;;24.09.1998;
34300;13.52;;24.09.1998;
34310;12.43;;24.09.1998;
34400;12.47;;24.09.1998;
34410;11.09;;24.09.1998;
34501;11.59;;24.09.1998;
34511;10.07;;24.09.1998;
34600;11.99;;24.09.1998;
34602;9.85;;24.09.1998;
34610;10.71;;24.09.1998;
34612;8.66;;24.09.1998;
34613;7.64;;24.09.1998;
34700;9.42;;24.09.1998;
34702;7.91;;24.09.1998;
34710;8.22;;24.09.1998;
34712;7.17;;24.09.1998;
34713;6.39;;01.01.1993;
34742;5.96;;24.09.1998;
34743;5.16;;01.01.1993;
34752;5.96;;24.09.1998;
34753;5.16;;01.01.1993;
34811;7.89;;24.09.1998;
34814;5.17;;24.09.1998;
34841;6.69;;24.09.1998;
34844;4.2;;01.01.1993;
34851;6.69;;24.09.1998;
34854;4.2;;24.09.1998;
34911;7.73;;24.09.1998;
34941;6.44;;01.01.1993;
34951;6.44;;24.09.1998;
35001;9.29;;24.09.1998;
35004;5.95;;01.01.1993;
35011;7.91;;24.09.1998;
35014;4.98;;24.09.1998;
35041;6.55;;24.09.1998;
35044;3.98;;01.01.1993;
35051;6.55;;24.09.1998;
35054;3.98;;01.01.1993;
35111;6.48;;24.09.1998;
35113;4.86;;24.09.1998;
35141;5.4;;28.06.2002;
35151;5.4;;28.06.2002;
35201;8.02;;24.09.1998;
35211;6.92;;24.09.1998;
35241;5.87;;28.06.2002;
35251;5.87;;28.06.2002;
35301;8;;24.09.1998;
35303;6.02;;24.09.1998;
35311;6.68;;24.09.1998;
35313;5.06;;24.09.1998;
35341;5.75;;28.06.2002;
35351;5.75;;28.06.2002;
35411;5.52;;24.09.1998;
35441;4.54;;24.09.1998;
35451;4.54;;24.09.1998;
35500;9.91;;24.09.1998;
35600;15.77;;24.09.1998;
35700;12.95;;24.09.1998;
35800;13.29;;24.09.1998;
35900;10.08;;24.09.1998;
36000;18.77;;24.09.1998;
36100;15.51;;24.09.1998;
36200;12.1;;24.09.1998;
36300;6.03;;24.09.1998;
36401;6.35;;24.09.1998;
36411;5.75;;24.09.1998;
36501;5.15;;24.09.1998;
36511;4.89;;28.06.2002;
36601;1.43;;24.09.1998;
36701;1.43;;24.09.1998;
36811;1.42;;24.09.1998;
36841;1.39;;24.09.1998;
36901;1.67;;24.09.1998;
37001;4.34;;24.09.1998;
37101;3.56;;24.09.1998;
37201;1.72;;24.09.1998;
37311;1.42;;24.09.1998;
37313;1.4;;01.01.1993;
37341;1.39;;01.01.1993;
37343;1.38;;01.01.1993;
37411;1.42;;01.01.1993;
37413;1.4;;01.01.1993;
37441;1.39;;01.01.1993;
37443;1.38;;01.01.1993;
37541;1.39;;24.09.1998;
37543;1.38;;01.01.1993;
37641;1.39;;24.09.1998;
37643;1.38;;01.01.1993;
37769;1.16;;24.09.1998;
37789;1.15;;24.09.1998;
37869;1.16;;24.09.1998;
37889;1.15;;24.09.1998;
40100;13.01;;24.09.1998;
40110;11.61;;24.09.1998;
40112;9.2;;01.01.1993;
40200;13.32;;24.09.1998;
40210;12.16;;24.09.1998;
40212;9.5;;01.01.1993;
40300;14.18;;24.09.1998;
40800;10.51;;01.01.1993;
40810;9.38;;24.09.1998;
40812;7.72;;28.06.2002;
40840;7.47;;24.09.1998;
40842;6.27;;24.09.1998;
40850;7.96;;24.09.1998;
40852;6.6;;24.09.1998;
40900;13.52;;24.09.1998;
40910;11.91;;01.01.1993;
41000;13.01;;24.09.1998;
41010;11.78;;24.09.1998;
41100;12.62;;24.09.1998;
41110;10.81;;24.09.1998;
41200;11.39;;24.09.1998;
41210;9.96;;24.09.1998;
41212;8.37;;24.09.1998;
41213;7.35;;24.09.1998;
41300;9.99;;24.09.1998;
41310;8.64;;24.09.1998;
41313;6.5;;24.09.1998;
41400;11.65;;24.09.1998;
41410;10.46;;24.09.1998;
41440;8.29;;24.09.1998;
41450;8.89;;24.09.1998;
41500;11.38;;24.09.1998;
41510;10.05;;24.09.1998;
41512;8.22;;24.09.1998;
41513;7.24;;24.09.1998;
41540;7.94;;24.09.1998;
41542;5.91;;24.09.1998;
41543;5.22;;01.01.1993;
41550;8.36;;24.09.1998;
41552;6.89;;24.09.1998;
41553;5.6;;24.09.1998;
41602;5.83;;24.09.1998;
41811;6.22;;24.09.1998;
41814;3.42;;24.09.1998;
41841;4.49;;24.09.1998;
41844;2.25;;24.09.1998;
41851;4.98;;24.09.1998;
41854;2.56;;24.09.1998;
41901;8.64;;24.09.1998;
41904;5.12;;24.09.1998;
41911;7.51;;24.09.1998;
41914;4.19;;24.09.1998;
41941;5.24;;24.09.1998;
41944;2.62;;24.09.1998;
41951;5.8;;24.09.1998;
41954;2.79;;24.09.1998;
42001;6.64;;24.09.1998;
42004;4.29;;24.09.1998;
42011;5.76;;24.09.1998;
42014;3.32;;24.09.1998;
42041;4.27;;24.09.1998;
42044;2.27;;24.09.1998;
42051;4.7;;24.09.1998;
42054;2.44;;24.09.1998;
42110;3.98;;24.09.1998;
42112;2.9;;24.09.1998;
42113;2.66;;24.09.1998;
42142;2.39;;24.09.1998;
42143;2.16;;24.09.1998;
42152;2.51;;24.09.1998;
42153;2.31;;24.09.1998;
42210;4.85;;24.09.1998;
42212;3.99;;24.09.1998;
42213;3.61;;24.09.1998;
42242;2.78;;24.09.1998;
42243;2.57;;24.09.1998;
42252;3.05;;24.09.1998;
42253;2.68;;24.09.1998;
42310;5.53;;24.09.1998;
42312;4.74;;24.09.1998;
42313;4.28;;24.09.1998;
42501;8.36;;24.09.1998;
42504;4.82;;24.09.1998;
42511;7.23;;24.09.1998;
42514;3.96;;24.09.1998;
42541;4.88;;24.09.1998;
42544;2.54;;24.09.1998;
42551;5.46;;24.09.1998;
42554;2.72;;24.09.1998;
42601;7.46;;24.09.1998;
42604;4.68;;24.09.1998;
42611;6.25;;24.09.1998;
42614;3.64;;24.09.1998;
42641;4.34;;24.09.1998;
42644;2.21;;24.09.1998;
42651;4.7;;24.09.1998;
42654;2.63;;24.09.1998;
42701;5.56;;24.09.1998;
42704;3.74;;24.09.1998;
42711;4.85;;24.09.1998;
42714;2.98;;24.09.1998;
42741;3.74;;24.09.1998;
42744;2.34;;24.09.1998;
42751;3.96;;24.09.1998;
42754;2.51;;24.09.1998;
42801;8.57;;24.09.1998;
42804;5.33;;24.09.1998;
42811;7.5;;24.09.1998;
42814;4.03;;24.09.1998;
42841;5.24;;24.09.1998;
42844;2.57;;24.09.1998;
42851;5.61;;24.09.1998;
42854;2.99;;24.09.1998;
42901;6.46;;24.09.1998;
42904;3.87;;24.09.1998;
42911;5.67;;24.09.1998;
42914;2.99;;24.09.1998;
42941;4.11;;24.09.1998;
42944;2.21;;24.09.1998;
42951;4.38;;24.09.1998;
42954;2.34;;24.09.1998;
43001;6.94;;24.09.1998;
43004;4.29;;24.09.1998;
43011;5.94;;24.09.1998;
43014;3.44;;24.09.1998;
43041;4.34;;24.09.1998;
43044;2.26;;24.09.1998;
43051;4.9;;24.09.1998;
43054;2.4;;24.09.1998;
43101;5.9;;24.09.1998;
43104;4.31;;24.09.1998;
43111;5.22;;24.09.1998;
43114;3.52;;24.09.1998;
43141;4.26;;24.09.1998;
43144;2.6;;24.09.1998;
43151;4.45;;24.09.1998;
43154;2.82;;24.09.1998;
43201;5.36;;24.09.1998;
43204;3.81;;24.09.1998;
43211;4.74;;24.09.1998;
43214;2.94;;24.09.1998;
43241;3.71;;24.09.1998;
43244;2.31;;24.09.1998;
43251;3.93;;24.09.1998;
43254;2.45;;24.09.1998;
43301;8.74;;24.09.1998;
43304;6.81;;24.09.1998;
43311;7.82;;24.09.1998;
43314;5.99;;24.09.1998;
43341;6.29;;24.09.1998;
43344;4.53;;24.09.1998;
43351;6.81;;24.09.1998;
43354;4.85;;24.09.1998;
43715;1.62;;24.09.1998;
43716;1.35;;24.09.1998;
43745;1.38;;24.09.1998;
43746;1.22;;24.09.1998;
43755;1.41;;24.09.1998;
43756;1.23;;24.09.1998;
43815;1.87;;24.09.1998;
43816;1.53;;24.09.1998;
43845;1.55;;01.01.1993;
43846;1.25;;24.09.1998;
43855;1.58;;24.09.1998;
43856;1.33;;24.09.1998;
43909;1.2;;01.01.1993;
43919;1.2;;24.09.1998;
43929;1.18;;24.09.1998;
43939;1.2;;24.09.1998;
43949;1.18;;24.09.1998;
43959;1.18;;24.09.1998;
43969;1.02;;01.01.1993;30.01.2014
44067;1.2;;24.09.1998;
44068;1.18;;24.09.1998;
44077;1.2;;24.09.1998;
44078;1.18;;24.09.1998;
44089;1.17;;24.09.1998;
44099;1.17;;24.09.1998;
44167;1.2;;24.09.1998;
44168;1.18;;24.09.1998;
44177;1.2;;24.09.1998;
44178;1.2;;24.09.1998;
44189;1.17;;24.09.1998;
44199;1.18;;24.09.1998;
44200;10.03;;24.09.1998;
44210;8.44;;24.09.1998;
44300;10.16;;24.09.1998;
44310;8.55;;24.09.1998;
44501;7.65;;24.09.1998;
44511;6.69;;24.09.1998;
44600;7.32;;24.09.1998;
44602;5.41;;24.09.1998;
44610;6.24;;24.09.1998;
44612;4.38;;24.09.1998;
44613;3.46;;24.09.1998;
44700;6.57;;24.09.1998;
44702;5.41;;24.09.1998;
44710;5.63;;24.09.1998;
44712;4.54;;24.09.1998;
44713;3.83;;24.09.1998;
44742;2.99;;24.09.1998;
44743;2.48;;24.09.1998;
44752;3.33;;24.09.1998;
44753;2.63;;24.09.1998;
44811;4.53;;24.09.1998;
44814;2.83;;24.09.1998;
44841;3.69;;24.09.1998;
44844;2.01;;24.09.1998;
44851;4.35;;24.09.1998;
44854;2.21;;24.09.1998;
44911;4.22;;24.09.1998;
44941;2.72;;01.01.1993;
44951;3.27;;24.09.1998;
45001;5.59;;24.09.1998;
45004;3.82;;24.09.1998;
45011;4.94;;24.09.1998;
45014;3.05;;24.09.1998;
45041;3.67;;24.09.1998;
45044;2.44;;01.01.1993;
45051;4.24;;24.09.1998;
45054;2.6;;01.01.1993;
45111;3.87;;24.09.1998;
45113;2.98;;24.09.1998;
45141;3.1;;28.06.2002;
45151;3.32;;28.06.2002;
45201;4.85;;24.09.1998;
45211;3.95;;01.01.1993;
45241;2.65;;01.01.1993;
45251;2.81;;01.01.1993;
45301;5.47;;24.09.1998;
45303;3.92;;24.09.1998;
45311;4.65;;24.09.1998;
45313;3.05;;24.09.1998;
45341;3.05;;28.06.2002;
45351;3.61;;28.06.2002;
45411;4.01;;24.09.1998;
45441;2.59;;01.01.1993;
45451;2.94;;01.01.1993;
45500;6.07;;24.09.1998;
45600;10.51;;24.09.1998;
45700;8.18;;24.09.1998;
45800;7.65;;24.09.1998;
45900;7.2;;24.09.1998;
46000;13.11;;24.09.1998;
46100;10.36;;24.09.1998;
46200;9.07;;24.09.1998;
46300;5;;24.09.1998;
46401;5.51;;24.09.1998;
46411;4.94;;24.09.1998;
46501;4.22;;24.09.1998;
46511;3.96;;28.06.2002;
46601;1.41;;28.06.2002;
46701;1.41;;24.09.1998;
46811;1.4;;24.09.1998;
46841;1.35;;24.09.1998;
46901;1.62;;24.09.1998;
47001;3.3;;24.09.1998;
47101;2.72;;24.09.1998;
47201;1.66;;24.09.1998;
47311;1.4;;24.09.1998;
47313;1.38;;24.09.1998;
47341;1.35;;24.09.1998;
47343;1.33;;28.06.2002;
47411;1.4;;28.06.2002;
47413;1.38;;28.06.2002;
47441;1.35;;28.06.2002;
47443;1.33;;28.06.2002;
47541;1.35;;24.09.1998;
47543;1.33;;24.09.1998;
47641;1.35;;28.06.2002;
47643;1.33;;28.06.2002;
47769;1.15;;24.09.1998;
47789;1.15;;24.09.1998;
47869;1.15;;24.09.1998;
47889;1.15;;24.09.1998;
50800;10.77;;28.06.2002;
50810;9.37;;24.09.1998;
50812;8.25;;01.01.1993;
50840;8.35;;24.09.1998;
50842;6.53;;24.09.1998;
50850;8.35;;24.09.1998;
50852;6.53;;24.09.1998;
50900;13.99;;24.09.1998;
50910;13.03;;01.01.1993;
51000;14.2;;24.09.1998;
51010;12.97;;24.09.1998;
51100;13.41;;24.09.1998;
51110;12.37;;24.09.1998;
51200;12.97;;24.09.1998;
51210;11.34;;24.09.1998;
51212;9.83;;24.09.1998;
51213;8.81;;24.09.1998;
51300;11.44;;24.09.1998;
51310;10.56;;24.09.1998;
51313;7.75;;24.09.1998;
51400;12.77;;24.09.1998;
51410;10.9;;24.09.1998;
51440;9.74;;24.09.1998;
51450;9.74;;24.09.1998;
51500;11.76;;24.09.1998;
51502;10.19;;24.09.1998;
51510;10.24;;24.09.1998;
51512;8.66;;24.09.1998;
51513;7.7;;24.09.1998;
51540;8.76;;24.09.1998;
51542;7.32;;24.09.1998;
51543;6.46;;24.09.1998;
51550;8.76;;24.09.1998;
51552;7.32;;24.09.1998;
51553;6.46;;24.09.1998;
51602;7.81;;24.09.1998;
51700;6.89;;24.09.1998;
51710;6.21;;24.09.1998;
51811;7.7;;24.09.1998;
51814;4.63;;24.09.1998;
51841;6.11;;01.01.1993;
51844;3.4;;24.09.1998;
51851;6.11;;24.09.1998;
51854;3.4;;24.09.1998;
51901;8.68;;24.09.1998;
51904;5.32;;24.09.1998;
51911;7.67;;24.09.1998;
51914;4.31;;24.09.1998;
51941;6.4;;24.09.1998;
51944;3.3;;24.09.1998;
51951;6.4;;24.09.1998;
51954;3.3;;24.09.1998;
52001;7.31;;24.09.1998;
52004;4.86;;24.09.1998;
52011;6.26;;24.09.1998;
52014;4.08;;24.09.1998;
52041;5.4;;24.09.1998;
52044;3.15;;24.09.1998;
52051;5.4;;24.09.1998;
52054;3.15;;24.09.1998;
52110;4.21;;24.09.1998;
52112;3.06;;24.09.1998;
52113;2.5;;24.09.1998;
52142;2.21;;24.09.1998;
52143;1.87;;24.09.1998;
52152;2.21;;24.09.1998;
52153;1.87;;24.09.1998;
52210;6.13;;24.09.1998;
52212;5.08;;24.09.1998;
52213;4.37;;24.09.1998;
52242;3.6;;24.09.1998;
52243;2.97;;24.09.1998;
52252;3.6;;24.09.1998;
52253;2.97;;24.09.1998;
52310;6.46;;24.09.1998;
52312;5.24;;24.09.1998;
52313;4.91;;24.09.1998;
52501;9.42;;24.09.1998;
52504;6.21;;24.09.1998;
52511;8.11;;24.09.1998;
52514;4.79;;24.09.1998;
52541;6.62;;24.09.1998;
52544;3.51;;24.09.1998;
52551;6.62;;24.09.1998;
52554;3.51;;24.09.1998;
52601;8.28;;24.09.1998;
52604;5.09;;24.09.1998;
52611;7.26;;24.09.1998;
52614;4.39;;24.09.1998;
52641;5.7;;24.09.1998;
52644;3.21;;24.09.1998;
52651;5.7;;24.09.1998;
52654;3.21;;24.09.1998;
52701;6.6;;24.09.1998;
52704;4.57;;24.09.1998;
52711;5.84;;24.09.1998;
52714;3.96;;24.09.1998;
52741;4.91;;24.09.1998;
52744;3.26;;24.09.1998;
52751;4.91;;24.09.1998;
52754;3.26;;24.09.1998;
52801;9.22;;24.09.1998;
52804;5.95;;24.09.1998;
52811;7.9;;24.09.1998;
52814;4.7;;24.09.1998;
52841;6.55;;24.09.1998;
52844;3.37;;24.09.1998;
52851;6.55;;24.09.1998;
52854;3.37;;24.09.1998;
52901;9;;24.09.1998;
52904;6.09;;24.09.1998;
52911;7.79;;24.09.1998;
52914;5;;24.09.1998;
52941;6.47;;24.09.1998;
52944;3.69;;24.09.1998;
52951;6.47;;24.09.1998;
52954;3.69;;24.09.1998;
53001;8.45;;24.09.1998;
53004;5.07;;24.09.1998;
53011;7.38;;24.09.1998;
53014;4.28;;24.09.1998;
53041;5.69;;24.09.1998;
53044;3.22;;24.09.1998;
53051;5.69;;24.09.1998;
53054;3.22;;24.09.1998;
53101;6.1;;24.09.1998;
53104;4.68;;24.09.1998;
53111;5.52;;24.09.1998;
53114;3.99;;24.09.1998;
53141;4.82;;24.09.1998;
53144;3.41;;24.09.1998;
53151;4.82;;24.09.1998;
53154;3.41;;24.09.1998;
53201;6.61;;24.09.1998;
53204;4.47;;24.09.1998;
53211;5.75;;24.09.1998;
53214;3.9;;24.09.1998;
53241;4.62;;24.09.1998;
53244;3.23;;24.09.1998;
53251;4.62;;24.09.1998;
53254;3.23;;24.09.1998;
53301;8.8;;24.09.1998;
53304;5.33;;24.09.1998;
53311;7.28;;24.09.1998;
53314;3.92;;24.09.1998;
53341;5.95;;24.09.1998;
53344;2.72;;24.09.1998;
53351;5.95;;24.09.1998;
53354;2.72;;24.09.1998;
53715;2.04;;24.09.1998;
53716;1.64;;24.09.1998;
53745;1.72;;24.09.1998;
53746;1.43;;24.09.1998;
53755;1.72;;24.09.1998;
53756;1.43;;24.09.1998;
53815;2.26;;24.09.1998;
53816;1.76;;24.09.1998;
53845;1.98;;24.09.1998;
53846;1.51;;24.09.1998;
53855;1.98;;24.09.1998;
53856;1.51;;24.09.1998;
53909;1.22;;24.09.1998;
53919;1.2;;24.09.1998;
53929;1.2;;24.09.1998;
53939;1.2;;24.09.1998;
53949;1.2;;24.09.1998;
53959;1.2;;24.09.1998;
53969;1.18;;01.01.1993;
54067;1.22;;24.09.1998;
54068;1.2;;24.09.1998;
54077;1.22;;24.09.1998;
54078;1.2;;24.09.1998;
54089;1.18;;24.09.1998;
54099;1.18;;24.09.1998;
54167;1.24;;24.09.1998;
54168;1.23;;24.09.1998;
54177;1.24;;24.09.1998;
54178;1.23;;24.09.1998;
54189;1.2;;24.09.1998;
54199;1.2;;24.09.1998;
54200;10.86;;24.09.1998;
54210;9;;24.09.1998;
54300;10.2;;24.09.1998;
54310;8.37;;24.09.1998;
54400;10;;24.09.1998;
54410;8.55;;24.09.1998;
54501;9.05;;24.09.1998;
54511;7.81;;24.09.1998;
54600;8.94;;24.09.1998;
54602;6.96;;24.09.1998;
54610;7.25;;24.09.1998;
54612;5.75;;24.09.1998;
54613;4.51;;24.09.1998;
54700;7.04;;24.09.1998;
54702;5.78;;24.09.1998;
54710;5.95;;24.09.1998;
54712;4.94;;24.09.1998;
54713;4.29;;24.09.1998;
54742;3.83;;24.09.1998;
54743;3.35;;24.09.1998;
54752;3.83;;24.09.1998;
54753;3.35;;24.09.1998;
54811;5.44;;24.09.1998;
54814;3.14;;24.09.1998;
54841;4.24;;24.09.1998;
54844;2.4;;24.09.1998;
54851;4.24;;24.09.1998;
54854;2.4;;24.09.1998;
54911;4.54;;24.09.1998;
54941;3.56;;24.09.1998;
54951;3.56;;24.09.1998;
55001;7.12;;24.09.1998;
55004;5.36;;24.09.1998;
55011;6.34;;24.09.1998;
55014;4.49;;24.09.1998;
55041;5.35;;24.09.1998;
55044;3.61;;24.09.1998;
55051;5.35;;24.09.1998;
55054;3.61;;24.09.1998;
55111;4.85;;24.09.1998;
55113;4.07;;24.09.1998;
55141;4.16;;01.01.1993;
55151;4.16;;28.06.2002;
55201;6.65;;24.09.1998;
55211;6;;24.09.1998;
55241;5.16;;24.09.1998;
55251;5.16;;24.09.1998;
55301;6.29;;24.09.1998;
55303;5.46;;24.09.1998;
55311;5.68;;24.09.1998;
55313;4.9;;24.09.1998;
55341;5.04;;01.01.1993;
55351;5.04;;01.01.1993;
55411;4.3;;24.09.1998;
55441;3.32;;24.09.1998;
55451;3.32;;24.09.1998;
55500;7.2;;24.09.1998;
55600;10.7;;24.09.1998;
55700;8.71;;24.09.1998;
55800;7.87;;24.09.1998;
55900;7.07;;24.09.1998;
56000;12.74;;24.09.1998;
56100;10.24;;24.09.1998;
56200;9.5;;24.09.1998;
56300;5.39;;24.09.1998;
56401;5.87;;24.09.1998;
56411;5.22;;24.09.1998;
56501;5.39;;24.09.1998;
56511;5.13;;24.09.1998;
56601;1.39;;24.09.1998;
56701;1.39;;24.09.1998;
56811;1.38;;24.09.1998;
56841;1.34;;24.09.1998;
56901;1.58;;24.09.1998;
57001;2.74;;24.09.1998;
57101;2.43;;24.09.1998;
57201;1.62;;24.09.1998;
57311;1.32;;24.09.1998;
57313;1.31;;24.09.1998;
57341;1.31;;24.09.1998;
57343;1.3;;24.09.1998;
57411;1.32;;24.09.1998;
57413;1.31;;24.09.1998;
57441;1.31;;28.06.2002;
57443;1.3;;28.06.2002;
57541;1.31;;24.09.1998;
57543;1.3;;24.09.1998;
57641;1.31;;24.09.1998;
57643;1.3;;01.01.1993;
57769;1.15;;24.09.1998;
57789;1.15;;24.09.1998;
57869;1.15;;24.09.1998;
57889;1.15;;24.09.1998;
61200;12.73;;24.09.1998;
61210;11.29;;24.09.1998;
61212;9.88;;24.09.1998;
61213;8.86;;01.01.1993;
61300;11;;24.09.1998;
61310;9.91;;24.09.1998;
61313;7.26;;01.01.1993;
61400;12.01;;24.09.1998;
61410;11.02;;24.09.1998;
61440;9.58;;24.09.1998;
61450;9.58;;24.09.1998;
61602;7.33;;24.09.1998;
61700;6.85;;01.01.1993;
61710;6;;01.01.1993;
62001;7;;24.09.1998;
62004;4.78;;24.09.1998;
62021;6.19;;24.09.1998;
62024;4.05;;24.09.1998;
62031;6.19;;24.09.1998;
62034;4.05;;24.09.1998;
62041;5.31;;24.09.1998;
62044;2.97;;24.09.1998;
62051;5.31;;24.09.1998;
62054;2.97;;24.09.1998;
62110;4.54;;24.09.1998;
62112;3.59;;24.09.1998;
62113;3.12;;24.09.1998;
62142;2.57;;24.09.1998;
62143;2.35;;24.09.1998;
62152;2.57;;24.09.1998;
62153;2.35;;01.01.1993;
62210;6.01;;24.09.1998;
62212;5.25;;24.09.1998;
62213;4.44;;24.09.1998;
62242;3.93;;24.09.1998;
62243;3.17;;24.09.1998;
62252;3.93;;24.09.1998;
62253;3.17;;01.01.1993;
62310;5.52;;24.09.1998;
62312;4.75;;24.09.1998;
62313;4.28;;24.09.1998;
62411;7.16;;24.09.1998;
62414;4.86;;24.09.1998;
62441;6.27;;24.09.1998;
62444;4.04;;24.09.1998;
62451;6.27;;24.09.1998;
62454;4.04;;24.09.1998;
62601;7.91;;24.09.1998;
62604;4.94;;24.09.1998;
62611;6.38;;24.09.1998;
62614;3.73;;24.09.1998;
62641;5.31;;24.09.1998;
62644;2.86;;24.09.1998;
62651;5.31;;24.09.1998;
62654;2.86;;24.09.1998;
62701;7.08;;24.09.1998;
62704;5.13;;24.09.1998;
62711;6.38;;24.09.1998;
62714;4.57;;24.09.1998;
62741;5.24;;24.09.1998;
62744;3.67;;24.09.1998;
62751;5.24;;24.09.1998;
62754;3.67;;24.09.1998;
62801;9.06;;01.01.1993;
62804;6.22;;01.01.1993;
62811;7.59;;01.01.1993;
62814;5.15;;01.01.1993;
62841;6.56;;01.01.1993;
62844;4.3;;24.09.1998;
62851;6.56;;28.06.2002;
62854;4.3;;24.09.1998;
62901;7.87;;24.09.1998;
62904;4.86;;24.09.1998;
62911;6.37;;24.09.1998;
62914;4.01;;24.09.1998;
62941;5.38;;24.09.1998;
62944;2.94;;24.09.1998;
62951;5.38;;24.09.1998;
62954;2.94;;24.09.1998;
63101;7.07;;28.06.2002;
63104;5.22;;28.06.2002;
63111;6.14;;28.06.2002;
63114;4.68;;28.06.2002;
63141;5.44;;28.06.2002;
63144;3.96;;28.06.2002;
63151;5.44;;28.06.2002;
63154;3.96;;28.06.2002;
63201;6.65;;24.09.1998;
63204;4.82;;24.09.1998;
63211;5.82;;24.09.1998;
63214;4.3;;24.09.1998;
63241;4.96;;24.09.1998;
63244;3.65;;24.09.1998;
63251;4.96;;24.09.1998;
63254;3.65;;24.09.1998;
63715;1.53;;01.01.1993;
63716;1.22;;24.09.1998;
63745;1.28;;01.01.1993;
63746;1.15;;24.09.1998;
63755;1.28;;24.09.1998;
63756;1.15;;24.09.1998;
63815;1.76;;24.09.1998;
63816;1.26;;24.09.1998;
63845;1.43;;24.09.1998;
63846;1.17;;24.09.1998;
63855;1.43;;01.01.1993;
63856;1.17;;24.09.1998;
63909;1.24;;28.06.2002;
63919;1.23;;28.06.2002;
63929;1.23;;28.06.2002;
63939;1.23;;28.06.2002;
63949;1.06;;28.06.2002;30.01.2014
63959;1.06;;28.06.2002;30.01.2014
63969;1.05;;28.06.2002;30.01.2014
64067;1.26;;24.09.1998;
64068;1.25;;24.09.1998;
64077;1.26;;24.09.1998;
64078;1.25;;24.09.1998;
64089;1.23;;24.09.1998;
64099;1.23;;24.09.1998;
64167;1.32;;24.09.1998;
64168;1.3;;24.09.1998;
64177;1.32;;24.09.1998;
64178;1.3;;24.09.1998;
64189;1.26;;24.09.1998;
64199;1.26;;24.09.1998;
64200;10.55;;24.09.1998;
64210;9.7;;24.09.1998;
64300;10.03;;24.09.1998;
64310;8.8;;24.09.1998;
64340;7.17;;24.09.1998;
64400;8.96;;24.09.1998;
64410;8.04;;24.09.1998;
64501;8.59;;24.09.1998;
64511;7.13;;24.09.1998;
64600;8.2;;24.09.1998;
64602;6.47;;24.09.1998;
64610;7.08;;24.09.1998;
64612;5.16;;24.09.1998;
64613;4.08;;24.09.1998;
64700;7.09;;24.09.1998;
64702;5.87;;24.09.1998;
64710;6.17;;24.09.1998;
64712;5.12;;24.09.1998;
64713;4.45;;24.09.1998;
64742;3.93;;24.09.1998;
64743;3.17;;24.09.1998;
64752;3.93;;24.09.1998;
64753;3.17;;01.01.1993;
64811;4.97;;24.09.1998;
64814;2.88;;24.09.1998;
64841;3.76;;24.09.1998;
64844;2.44;;24.09.1998;
64851;3.76;;24.09.1998;
64854;2.44;;24.09.1998;
64911;4.55;;24.09.1998;
64941;3.67;;24.09.1998;
64951;3.67;;24.09.1998;
65001;6.31;;24.09.1998;
65004;3.69;;24.09.1998;
65011;5.43;;24.09.1998;
65014;2.9;;24.09.1998;
65041;4.24;;24.09.1998;
65044;2.27;;01.01.1993;
65051;4.24;;24.09.1998;
65054;2.27;;24.09.1998;
65111;4.24;;24.09.1998;
65113;3.25;;24.09.1998;
65141;3.5;;28.06.2002;
65151;3.5;;28.06.2002;
65201;5.68;;28.06.2002;
65211;4.88;;24.09.1998;
65241;3.84;;24.09.1998;
65251;3.84;;24.09.1998;
65500;8.13;;24.09.1998;
65600;10.34;;24.09.1998;
65700;8;;24.09.1998;
65800;7.83;;24.09.1998;
65900;6.64;;24.09.1998;
66000;11.3;;24.09.1998;
66100;10.54;;24.09.1998;
66200;8.74;;24.09.1998;
66300;5.36;;24.09.1998;
66401;6.02;;24.09.1998;
66411;5.41;;24.09.1998;
66501;1.87;;01.01.1993;
66511;1.82;;01.01.1993;
66601;1.47;;24.09.1998;
66701;1.4;;24.09.1998;
66811;1.39;;24.09.1998;
66841;1.35;;01.01.1993;
66901;1.61;;24.09.1998;
67001;3.54;;24.09.1998;
67101;2.82;;24.09.1998;
67201;1.65;;24.09.1998;
67311;1.31;;24.09.1998;
67313;1.3;;01.01.1993;
67341;1.3;;01.01.1993;
67343;1.28;;01.01.1993;
67411;1.31;;24.09.1998;
67413;1.3;;01.01.1993;
67441;1.3;;01.01.1993;
67443;1.28;;01.01.1993;
67541;1.3;;24.09.1998;
67543;1.28;;24.09.1998;
67641;1.3;;24.09.1998;
67643;1.28;;01.01.1993;
67769;1.15;;24.09.1998;
67789;1.15;;24.09.1998;
67869;1.15;;24.09.1998;
67889;1.15;;24.09.1998;
71100;9.86;;24.09.1998;
71110;9.03;;24.09.1998;
71200;9.12;;24.09.1998;
71210;7.77;;24.09.1998;
